model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
mlp,MNIST,CIFAR10,tensor(2.7207),0.0,tensor(3.3537),tensor(0.1616)
mlp,MNIST,SVHN,tensor(2.0902),1.0,tensor(2.8548),tensor(0.1212)
mlp,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.7727),tensor(0.2020)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5441),tensor(0.1212)
mlp,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.7112),tensor(0.1111)
mlp,MNIST,CIFAR10,tensor(1.9170),1.0,tensor(2.9152),tensor(0.0707)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6056),tensor(0.0808)
mlp,MNIST,MNIST,tensor(2.2258),1.0,tensor(2.6823),tensor(0.2121)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5249),tensor(0.0707)
mlp,MNIST,KMNIST,tensor(2.3083),0.0,tensor(2.6761),tensor(0.1313)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6478),tensor(0.1111)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4384),tensor(0.1313)
mlp,MNIST,MNIST,tensor(2.3397),0.0,tensor(2.8749),tensor(0.0808)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.7250),tensor(0.2828)
mlp,MNIST,KMNIST,tensor(2.9305),0.0,tensor(2.7364),tensor(0.3131)
mlp,MNIST,CIFAR10,tensor(2.3360),0.0,tensor(2.9828),tensor(0.0505)
mlp,MNIST,SVHN,tensor(2.3413),0.0,tensor(3.2248),tensor(0.1111)
mlp,MNIST,MNIST,tensor(2.3140),0.0,tensor(2.8526),tensor(0.1313)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.6969),tensor(0.0505)
mlp,MNIST,KMNIST,tensor(2.3026),0.0,tensor(3.1364),tensor(0.1111)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6719),tensor(0.0505)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4398),tensor(0.1313)
mlp,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.4506),tensor(0.2323)
mlp,MNIST,FashionMNIST,tensor(2.5429),0.0,tensor(2.6013),tensor(0.2525)
mlp,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.8650),tensor(0.1212)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5989),tensor(0.0909)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4614),tensor(0.0909)
mlp,FashionMNIST,MNIST,tensor(3.6626),0.0,tensor(2.3180),tensor(0.2222)
mlp,FashionMNIST,FashionMNIST,tensor(1.2384),1.0,tensor(2.0030),tensor(0.3939)
mlp,FashionMNIST,KMNIST,tensor(0.9382),1.0,tensor(3.1527),tensor(0.2222)
mlp,FashionMNIST,CIFAR10,tensor(2.8873),0.0,tensor(2.7933),tensor(0.1919)
mlp,FashionMNIST,SVHN,tensor(2.4308),0.0,tensor(2.7175),tensor(0.1616)
mlp,FashionMNIST,MNIST,tensor(0.5024),1.0,tensor(2.0741),tensor(0.3939)
mlp,FashionMNIST,FashionMNIST,tensor(1.9350),0.0,tensor(2.1828),tensor(0.3838)
mlp,FashionMNIST,KMNIST,tensor(3.4450),0.0,tensor(2.7131),tensor(0.2525)
mlp,FashionMNIST,CIFAR10,tensor(2.3167),0.0,tensor(2.7449),tensor(0.1515)
mlp,FashionMNIST,SVHN,tensor(2.7854),0.0,tensor(2.7418),tensor(0.1616)
mlp,FashionMNIST,MNIST,tensor(2.2564),0.0,tensor(2.4912),tensor(0.3333)
mlp,FashionMNIST,FashionMNIST,tensor(2.1619),0.0,tensor(2.4755),tensor(0.3434)
mlp,FashionMNIST,KMNIST,tensor(2.1393),0.0,tensor(2.5920),tensor(0.2020)
mlp,FashionMNIST,CIFAR10,tensor(2.3259),0.0,tensor(2.8797),tensor(0.1212)
mlp,FashionMNIST,SVHN,tensor(2.5317),0.0,tensor(2.6889),tensor(0.1010)
mlp,FashionMNIST,MNIST,tensor(1.7528),1.0,tensor(2.2930),tensor(0.3434)
