model,dataset,n_tasks,accuracy,hid_size
transformer,valid,1,0.9359999895095824,8
transformer,valid,1,0.9959999918937684,16
transformer,valid,1,0.9980000257492064,32
transformer,valid,1,1.0,64
transformer,valid,1,1.0,128
transformer,valid,1,1.0,256
transformer,valid,1,1.0,512
transformer,valid,4,0.1315000057220459,2
transformer,valid,4,0.4794999957084656,4
transformer,valid,4,0.796999990940094,8
transformer,valid,4,0.8979999423027039,16
transformer,valid,4,0.8985000848770142,64
transformer,valid,4,0.902999997138977,32
transformer,valid,4,0.9139999151229858,128
transformer,valid,4,0.9369999766349792,256
transformer,valid,4,0.94650000333786,512
transformer,valid,16,0.1156250014901161,2
transformer,valid,16,0.4586249887943268,4
transformer,valid,16,0.7158750295639038,8
transformer,valid,16,0.8037499189376831,16
transformer,valid,16,0.8106249570846558,32
transformer,valid,16,0.878250002861023,64
transformer,valid,16,0.903499960899353,128
transformer,valid,16,0.9194999933242798,256
transformer,valid,16,0.9252499341964722,512
transformer,valid,64,0.1178750023245811,2
transformer,valid,64,0.2807500064373016,4
transformer,valid,64,0.4852499961853027,8
transformer,valid,64,0.6601250171661377,16
transformer,valid,64,0.8188750147819519,32
transformer,valid,64,0.8809999227523804,64
transformer,valid,64,0.9039999842643738,128
transformer,valid,64,0.9207500219345092,256
transformer,valid,64,0.9274999499320984,512
transformer,valid,256,0.1142499893903732,2
transformer,valid,256,0.1986249983310699,4
transformer,valid,256,0.2860000133514404,8
transformer,valid,256,0.4599999785423279,16
transformer,valid,256,0.6567500233650208,32
transformer,valid,256,0.8142499923706055,64
transformer,valid,256,0.8795000314712524,128
transformer,valid,256,0.9133750200271606,256
transformer,valid,256,0.924625039100647,512
transformer,valid,1024,0.1143750101327896,2
transformer,valid,1024,0.1481249928474426,4
transformer,valid,1024,0.1878750026226043,8
transformer,valid,1024,0.2709999978542328,16
transformer,valid,1024,0.4192500114440918,32
transformer,valid,1024,0.6134999990463257,64
transformer,valid,1024,0.7848749756813049,128
transformer,valid,1024,0.8730000257492065,256
transformer,valid,1024,0.906624972820282,512
transformer,valid,4096,0.108999989926815,2
transformer,valid,4096,0.1236250028014183,4
transformer,valid,4096,0.1236250028014183,16
transformer,valid,4096,0.1299999952316284,8
transformer,valid,4096,0.192124992609024,32
transformer,valid,4096,0.3411250114440918,64
transformer,valid,4096,0.5565000176429749,128
transformer,valid,4096,0.7306249737739563,256
transformer,valid,4096,0.8421250581741333,512
transformer,valid,16384,0.4449999928474426,64
transformer,valid,16384,0.565625011920929,128
transformer,valid,16384,0.7756249904632568,256
transformer,valid,16384,0.9868749976158142,512
transformer,valid,65536,0.4000000059604645,64
transformer,valid,65536,0.4550000131130218,128
transformer,valid,65536,0.5493749976158142,256
transformer,valid,65536,0.7018749713897705,512
