model,dataset,n_tasks,accuracy,hid_size
mlp,test,4096,0.1005299985408783,64
mlp,test,4096,0.1006899997591972,512
mlp,test,4096,0.10224000364542,4
mlp,test,4096,0.1025900021195411,2
mlp,test,4096,0.1025900021195411,8
mlp,test,16384,0.099260002374649,8
mlp,test,16384,0.099370002746582,4
mlp,test,16384,0.0993800014257431,2
mlp,test,16384,0.099430002272129,64
mlp,test,16384,0.0995199978351593,32
mlp,test,16384,0.0999599993228912,512
mlp,test,16384,0.1002599969506263,128
mlp,test,16384,0.1002800017595291,16
mlp,test,16384,0.100890003144741,256
mlp,test,65536,0.099490001797676,2
mlp,test,65536,0.0995000004768371,4
mlp,train,1,0.6492999792098999,2
mlp,train,1,0.85548335313797,4
mlp,train,1,0.9176833629608154,8
mlp,train,1,0.9567000269889832,16
mlp,train,1,0.9779000282287598,32
mlp,train,1,0.989300012588501,64
mlp,train,1,0.9941666722297668,128
mlp,train,1,0.9974833130836488,256
mlp,train,1,0.997866690158844,512
mlp,train,4,0.5395291447639465,2
mlp,train,4,0.760283350944519,4
mlp,train,4,0.8891541957855225,8
mlp,train,4,0.9308500289916992,16
mlp,train,4,0.96138334274292,32
mlp,train,4,0.9808874726295472,64
mlp,train,4,0.9911791682243348,128
mlp,train,4,0.9957708120346068,256
mlp,train,4,0.9974083304405212,512
mlp,train,16,0.387452095746994,2
mlp,train,16,0.5974510312080383,4
mlp,train,16,0.7712302207946777,8
mlp,train,16,0.8584906458854675,16
mlp,train,16,0.9130208492279052,32
mlp,train,16,0.9512093663215636,64
mlp,train,16,0.975558340549469,128
mlp,train,16,0.989355206489563,256
mlp,train,16,0.9952385425567628,512
mlp,train,64,0.2412109971046447,2
mlp,train,64,0.3618580102920532,4
mlp,train,64,0.5082830190658569,8
mlp,train,64,0.6477890014648438,16
mlp,train,64,0.7675449848175049,32
mlp,train,64,0.8580449819564819,64
mlp,train,64,0.9181249737739564,128
mlp,train,64,0.957044005393982,256
mlp,train,64,0.9798240065574646,512
mlp,train,256,0.1677310019731521,2
mlp,train,256,0.2118040025234222,4
mlp,train,256,0.286422997713089,8
mlp,train,256,0.3812110126018524,16
mlp,train,256,0.5003010034561157,32
mlp,train,256,0.6437129974365234,64
mlp,train,256,0.7721440196037292,128
mlp,train,256,0.8702260255813599,256
mlp,train,256,0.9354439973831176,512
mlp,train,1024,0.1253020018339157,2
mlp,train,1024,0.1545439958572387,4
mlp,train,1024,0.1816630065441131,8
mlp,train,1024,0.2227360010147094,16
mlp,train,1024,0.2875939905643463,32
mlp,train,1024,0.3808520138263702,64
mlp,train,1024,0.5110509991645813,128
mlp,train,1024,0.6639739871025085,256
mlp,train,1024,0.8121790289878845,512
mlp,train,4096,0.1064769998192787,4
mlp,train,4096,0.1086060032248497,2
mlp,train,4096,0.1266970038414001,8
mlp,train,4096,0.1467999964952469,16
mlp,train,4096,0.1759690046310424,32
