,model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
165,MLP,MNIST,MNIST,tensor(2.9660),0.0,tensor(2.0586),tensor(0.4444)
166,MLP,MNIST,FashionMNIST,tensor(2.3166),0.0,tensor(2.6464),tensor(0.3737)
167,MLP,MNIST,KMNIST,tensor(2.4582),0.0,tensor(3.4801),tensor(0.1313)
168,MLP,MNIST,CIFAR10,tensor(2.1569),0.0,tensor(3.2500),tensor(0.1212)
169,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7620),tensor(0.1414)
170,MLP,MNIST,MNIST,tensor(0.9589),1.0,tensor(2.8686),tensor(0.0909)
171,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.7468),tensor(0.1313)
172,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.9702),tensor(0.1616)
173,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6041),tensor(0.1717)
174,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7457),tensor(0.1111)
175,MLP,MNIST,MNIST,tensor(2.3386),0.0,tensor(2.9957),tensor(0.1818)
176,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.7185),tensor(0.1414)
177,MLP,MNIST,KMNIST,tensor(2.3685),0.0,tensor(2.8590),tensor(0.1717)
178,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6291),tensor(0.1313)
179,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6681),tensor(0.0606)
180,MLP,MNIST,MNIST,tensor(1.0540),1.0,tensor(2.3817),tensor(0.3333)
181,MLP,MNIST,FashionMNIST,tensor(1.4645),1.0,tensor(2.9608),tensor(0.2121)
182,MLP,MNIST,KMNIST,tensor(2.6223),0.0,tensor(3.2703),tensor(0.2121)
183,MLP,MNIST,CIFAR10,tensor(2.3095),0.0,tensor(3.3293),tensor(0.1414)
184,MLP,MNIST,SVHN,tensor(2.2635),0.0,tensor(3.3461),tensor(0.1515)
185,MLP,MNIST,MNIST,tensor(2.3026),1.0,tensor(2.5446),tensor(0.1818)
186,MLP,MNIST,FashionMNIST,tensor(1.3662),1.0,tensor(2.4517),tensor(0.3939)
187,MLP,MNIST,KMNIST,tensor(2.0328),0.0,tensor(3.0484),tensor(0.2929)
188,MLP,MNIST,CIFAR10,tensor(2.3553),0.0,tensor(3.1630),tensor(0.1212)
189,MLP,MNIST,SVHN,tensor(2.3070),0.0,tensor(2.8554),tensor(0.1616)
190,MLP,MNIST,MNIST,tensor(1.6296),1.0,tensor(2.3882),tensor(0.3636)
191,MLP,MNIST,FashionMNIST,tensor(1.5992),0.0,tensor(2.8717),tensor(0.3838)
192,MLP,MNIST,KMNIST,tensor(2.8665),0.0,tensor(2.7537),tensor(0.2424)
193,MLP,MNIST,CIFAR10,tensor(2.3410),0.0,tensor(3.0702),tensor(0.1515)
194,MLP,MNIST,SVHN,tensor(2.3870),0.0,tensor(3.6536),tensor(0.1212)
195,MLP,MNIST,MNIST,tensor(1.2498),1.0,tensor(2.4806),tensor(0.3838)
196,MLP,MNIST,FashionMNIST,tensor(2.7620),0.0,tensor(2.5893),tensor(0.3434)
197,MLP,MNIST,KMNIST,tensor(2.3712),0.0,tensor(2.9327),tensor(0.2828)
198,MLP,MNIST,CIFAR10,tensor(2.3477),0.0,tensor(3.1799),tensor(0.1515)
199,MLP,MNIST,SVHN,tensor(2.3026),1.0,tensor(3.4460),tensor(0.0909)
200,MLP,MNIST,MNIST,tensor(2.3273),0.0,tensor(2.7101),tensor(0.3535)
201,MLP,MNIST,FashionMNIST,tensor(2.5745),0.0,tensor(2.4488),tensor(0.4343)
